document_id,source,instrument_type,reviewed,candidate_relationships,notes
007740e5-8bde-453f-a9ce-6580ecef44af,Clarification on applicability of Forest _Conservation_ Act_ 1980 over RoW of Railways 21.05.2019.pdf,clarification,False,0,"Ministry correspondence and clarification subject. Automated draft, not SME reviewed. No currentness or supersession conclusion. 2 references have multiple target editions and remain unresolved; see the backfill review queue."
00806877-004f-4c3e-af8c-099569b9220a,Ashok Sharma- 4.3.2025.pdf,judicial,False,1,"Court heading in opening excerpt; operative status still requires review. Automated draft, not SME reviewed. No currentness or supersession conclusion. 6 references have multiple target editions and remain unresolved; see the backfill review queue."
01b192fe-c7c5-4b60-a8cf-eb706303c794,Report of the committee on Extended Reach Drilling _ERD_ vis 21.04.22.pdf,unknown,False,0,"Insufficient evidence for a reliable primary-instrument classification. Automated draft, not SME reviewed. No currentness or supersession conclusion."
022dc57c-8f6e-416d-8b8a-06a81e069ee8,CRZ-CRZ State authority _OE SCZMA_ Login Manual.pdf,unknown,False,0,"Secondary explanatory material/manual; do not treat as a primary legal instrument. Automated draft, not SME reviewed. No currentness or supersession conclusion."
03c55fca-4cf3-4304-8afc-5a6995016604,Clarification whether infrastructure activities ancillary to Forest 17.03.25.pdf,clarification,False,0,"Ministry correspondence and clarification subject. Automated draft, not SME reviewed. No currentness or supersession conclusion."
0421a9af-1991-4325-ae52-d28dfa98179d,Issues referred by the Department of Telecommunication 13.06.2023.pdf,instruction,False,0,"Administrative correspondence; statutory authority requires review. Automated draft, not SME reviewed. No currentness or supersession conclusion. 1 references have multiple target editions and remain unresolved; see the backfill review queue."
05034c87-f292-455e-ae6b-9f29b2eb9616,THE BIOLOGICAL DIVERSITY _AMENDMENT_ ACT_ 2023.pdf,amendment,False,0,"Instrument self-identification clause: the Biological Diversity (Amendment) Act, 2023 Automated draft, not SME reviewed. No currentness or supersession conclusion."
053ee44a-113e-4f96-b6c7-417af46ad414,compensatory afforcstati_n in li__u of forest land diverted for creation of shategic defence proiects 2014.pdf,unknown,False,0,"Insufficient evidence for a reliable primary-instrument classification. Automated draft, not SME reviewed. No currentness or supersession conclusion."
05e3c50d-36a7-4f9b-bbfe-b73fc49f5648,Clarification sought by the Regional Office_ Bangalore 02.01.24.pdf,clarification,False,0,"Ministry correspondence and clarification subject. Automated draft, not SME reviewed. No currentness or supersession conclusion. 1 references have multiple target editions and remain unresolved; see the backfill review queue."
08105ea7-bddc-4a8b-98b1-68b7980a95aa,Clarification on applicability of FCA_ 1980 in Railways land 01.01.20.pdf,clarification,False,0,"Ministry correspondence and clarification subject. Automated draft, not SME reviewed. No currentness or supersession conclusion. 1 references have multiple target editions and remain unresolved; see the backfill review queue."
085386ca-c7ce-4833-b67b-ae61431ace58,220320261843949170_1187_FE___CC_Deptt.pdf,notification,False,0,"Notification heading; citations do not establish that this document is an Act. Automated draft, not SME reviewed. No currentness or supersession conclusion."
089c21fd-cb4a-45f1-9fff-2239f8c37f44,National_Forest_Policy__1988.pdf,unknown,False,0,"Insufficient evidence for a reliable primary-instrument classification. Automated draft, not SME reviewed. No currentness or supersession conclusion."
08e79e71-ee46-41e0-a7de-3c3f87efea44,Submission of proposals to obtain approval mining lease 31.03.2016 _1_.docx,guideline,False,0,"Ministry correspondence and guideline subject. Automated draft, not SME reviewed. No currentness or supersession conclusion. 2 references have multiple target editions and remain unresolved; see the backfill review queue."
0968db51-29d7-4563-84d5-df3a1ef17e05,247866.pdf,amendment,False,1,"Instrument self-identification clause: the Forest (Conservation) Amendment Act, 2023 Automated draft, not SME reviewed. No currentness or supersession conclusion. 2 references have multiple target editions and remain unresolved; see the backfill review queue."
0bf4ebdc-2524-446a-bf3e-14acee5808e7,fc-guidelines-110909.pdf,guideline,False,0,"Ministry correspondence and guideline subject. Automated draft, not SME reviewed. No currentness or supersession conclusion. 3 references have multiple target editions and remain unresolved; see the backfill review queue."
